source_domain,target_domain,method,lambda,coverage_seeds,heldout_cross_entropy_mean,heldout_cross_entropy_std,heldout_top1_accuracy_mean,heldout_top1_accuracy_std,heldout_macro_accuracy_mean,heldout_macro_accuracy_std,transductive_full_cross_entropy_mean,transductive_full_cross_entropy_std,transductive_full_top1_accuracy_mean,transductive_full_top1_accuracy_std,transductive_full_macro_accuracy_mean,transductive_full_macro_accuracy_std,transductive_unqueried_cross_entropy_mean,transductive_unqueried_cross_entropy_std,transductive_unqueried_top1_accuracy_mean,transductive_unqueried_top1_accuracy_std,transductive_unqueried_macro_accuracy_mean,transductive_unqueried_macro_accuracy_std
clipart,real_world,random_regularized_wasserstein,10.0,4,0.9854051519290283,0.03968269748749817,0.7310779816513762,0.016231554851347224,0.7075241798303836,0.014951443042260485,0.9768888483925844,0.02220722992553596,0.7404750975441818,0.004428226160563399,0.7186929299219209,0.006901135543290668,1.008384292497052,0.022899193165689724,0.7312217732350843,0.004586113948555935,0.7103999740928778,0.007239528632253471
clipart,real_world,random_uniform,,4,1.1009226985430656,0.04810092621876302,0.7012614678899083,0.018120233783625917,0.6795978401246024,0.02049568632189981,1.0955652756173078,0.020032061223793567,0.710638053706679,0.005197994859495918,0.6909091541049937,0.004905088439452782,1.123684336188173,0.02123545417233144,0.7009151414309485,0.005494140399964894,0.6820355459139905,0.005605282374600502
clipart,real_world,source_only_uniform,,4,1.2586118925311534,0.066898759255915,0.6639908256880733,0.02282081277767477,0.64558279902469,0.021575627739040516,1.2739986446064342,0.0,0.6637594675235253,0.0,0.6450044555675161,0.0,1.2739986446064342,0.0,0.6637594675235253,0.0,0.6450044555675161,0.0
clipart,real_world,wasserstein_hard_voronoi,,4,0.9107162926308516,0.05361760976884828,0.7677752293577982,0.00979816943270358,0.7407609160870354,0.010849288955161388,0.9084590948277905,0.01235156737656597,0.7704268992425981,0.00248877321392596,0.7478205616953016,0.002295664343287506,0.9396400577793038,0.012784939020119243,0.7622415022581412,0.002577510076794741,0.7400504001223163,0.0021539810401772254
clipart,real_world,wasserstein_uniform,,4,1.0513322825329947,0.06773803332870576,0.7201834862385321,0.02072697509438219,0.7011613491196428,0.02021705959600564,1.0510666893250016,0.0058095252510007205,0.7233187973376177,0.002298979297883362,0.7046055920221614,0.0021586856093394075,1.0802075771821822,0.006206873816760634,0.7137508913715237,0.002540712898316134,0.6949025867307524,0.0026356521352969143
product,art,random_regularized_wasserstein,10.0,4,1.4321140410289919,0.029224761280082428,0.6368312757201646,0.0102880658436214,0.5781440781440782,0.009792055200258285,1.3472322354436361,0.02525766094718102,0.6571899464359292,0.006194188866243477,0.6114063415128199,0.008518957537851857,1.4290248555704106,0.027355204522919174,0.634606938954765,0.006602238198670611,0.5872740036273038,0.006795601953431816
product,art,random_uniform,,4,1.514667285646994,0.020658180328600135,0.617283950617284,0.005312734356937448,0.5712095543345543,0.007245173010958712,1.4404285288921113,0.015029569973769872,0.638648537288834,0.002449190289812799,0.6025285272392409,0.004379390000620052,1.5110270036783715,0.01618481271624475,0.6150636802810716,0.0026953524578424573,0.5770388610500541,0.001655771468103641
product,art,source_only_uniform,,4,1.7189612099345724,0.013017137484847492,0.5622427983539094,0.00636974472599682,0.5328830891330891,0.007364903822132971,1.7158422439712082,0.0,0.5657189946435929,0.0,0.5425763228578002,0.0,1.7158422439712082,0.0,0.5657189946435929,0.0,0.5425763228578002,0.0
product,art,wasserstein_hard_voronoi,,4,1.4069514809840604,0.06133262613727857,0.631687242798354,0.030380294362620158,0.5560531135531135,0.014950933722701103,1.3152270243265525,0.0114090277867211,0.6612072517511332,0.005936445217452576,0.5868165120817823,0.0032708943730876826,1.3986652089591534,0.012131188354414629,0.6388888888888888,0.006327515389880312,0.5701509284652772,0.003905194288569865
product,art,wasserstein_uniform,,4,1.48065381550087,0.02579257800056635,0.6239711934156379,0.011563590740800685,0.5676343101343101,0.00494526472167943,1.3893107307311672,0.008347428878773185,0.65389369592089,0.00447580572360948,0.5989214390217982,0.0030468080627932734,1.4588176718916455,0.00829967723791744,0.6310935441370225,0.00477065458550737,0.5808612311331984,0.004365818036090411
product,clipart,random_regularized_wasserstein,10.0,4,2.265720297420147,0.026506572525507702,0.4518900343642612,0.01833953411000049,0.43953877294479227,0.017516334028478957,2.2166382388994497,0.03133681401167794,0.46775486827033225,0.015312710892115285,0.45705465014101365,0.017515619219401517,2.290941438855696,0.032244312047356706,0.4488730723606168,0.015909179008914816,0.44001374317298053,0.0179864281745885
product,clipart,random_uniform,,4,2.2843619031766527,0.025924340998425943,0.4412943871706759,0.016974048667732142,0.4305500787581342,0.016264154895395868,2.249097133729422,0.02795023247442762,0.45526918671248573,0.01240978646274424,0.44665506852163206,0.011740632722406738,2.3093884324364047,0.028863384940277834,0.43683274021352314,0.01251712343013884,0.42944220737326955,0.011642153279595434
product,clipart,source_only_uniform,,4,2.618941946096594,0.030636220915449507,0.3777205040091638,0.005321634159895521,0.37355509489782535,0.007482286958395128,2.6299673365526717,0.0,0.37823596792668956,0.0,0.3751046809379703,0.0,2.6299673365526717,0.0,0.37823596792668956,0.0,0.3751046809379703,0.0
product,clipart,wasserstein_hard_voronoi,,4,2.1470361052322433,0.027535822729059398,0.4871134020618557,0.0089891236097698,0.4817546163119514,0.008084048411088418,2.079990548067636,0.01237291792383217,0.5051546391752577,0.002873598735735275,0.5018482022414184,0.0010259855221133973,2.1517860710849286,0.012834968641918559,0.4875444839857651,0.002975862035939398,0.4861547626881988,0.0010510121562354365
product,clipart,wasserstein_uniform,,4,2.165671067227237,0.03698750477725258,0.4576174112256587,0.004436407040329235,0.45364023738889775,0.007981249600273908,2.1050950709207967,0.009544488300237743,0.48739977090492553,0.002442487299231679,0.48335235423941403,0.003518174998691359,2.1578127126512165,0.009435784652178203,0.4701660735468565,0.0027076422800743436,0.46707241411966716,0.003565099695343756
product,real_world,random_regularized_wasserstein,10.0,4,0.826779361449208,0.03130575301237705,0.7795298165137615,0.004121532617134553,0.7647217759351601,0.007234194607168121,0.8234951479968822,0.010807091038961969,0.7758205187055314,0.004510728484515386,0.7595475970397597,0.003977180328622638,0.8477832793468544,0.01072025019998538,0.767946280009508,0.004519929802923103,0.7519530876152657,0.0038184792138201665
product,real_world,random_uniform,,4,0.8598442142977418,0.044119848445102375,0.7715022935779817,0.004121532617134553,0.7593431707710405,0.004354231108545459,0.8567992844661089,0.005977665650405599,0.7702547624512279,0.004714858522876779,0.7558080315782124,0.004015314830743715,0.878758054522658,0.006373223824684388,0.7623009270263846,0.004637670747694132,0.7481049948290686,0.00361232035735853
product,real_world,source_only_uniform,,4,0.9394479151599336,0.05218392060011272,0.7534403669724771,0.006281221989738143,0.7427616286362416,0.008241489217248972,0.9518436180957317,0.0,0.7468441588248795,0.0,0.7333695922994262,0.0,0.9518436180957317,0.0,0.7468441588248795,0.0,0.7333695922994262,0.0
product,real_world,wasserstein_hard_voronoi,,4,0.8037521086383733,0.02636103786773487,0.7844036697247707,0.007834060218623538,0.7667145188931627,0.007934968758869478,0.7827415761854845,0.01533152482883544,0.7894193252237778,0.004291800804148342,0.7711107957774423,0.0026542217532080623,0.808637391873369,0.015902233721677175,0.7819111005467079,0.004444824365028343,0.7634693017781458,0.0029702209859254645
product,real_world,wasserstein_uniform,,4,0.8300997290866708,0.03844744105976191,0.7789564220183487,0.004013761467889885,0.7678118108836731,0.0050262212092830215,0.8193766105404086,0.01058455654120465,0.7771976130364929,0.003712081262017634,0.76369840749881,0.002643668532233263,0.8407866279337467,0.011317164993804064,0.7696101735203233,0.003750200403942286,0.7554796015883422,0.0027409255403130165
