status,pair,source_domain,target_domain,seed,method,rho,lambda,run_runtime_seconds,failure_stage,failure_message,run_record_path,heldout_cross_entropy,heldout_top1_accuracy,heldout_macro_accuracy,heldout_num_examples,transductive_full_cross_entropy,transductive_full_top1_accuracy,transductive_full_macro_accuracy,transductive_full_num_examples,transductive_unqueried_cross_entropy,transductive_unqueried_top1_accuracy,transductive_unqueried_macro_accuracy,transductive_unqueried_num_examples,effective_sample_size,squared_l2_norm,max_weight,source_total_mass,query_total_mass,solver_runtime_seconds,classifier_status,classifier_fit_seconds,classifier_iterations,classifier_closure_evaluations
complete,art_to_product,art,product,0,random_regularized_wasserstein,1e-05,1000.0,2.292000576853752,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_regularized_wasserstein/lambda_1000/run_record.json,0.9441248254924328,0.7545045045045045,0.7298879034357719,888,0.9755593804079791,0.7533228204550575,0.7417138831688717,4439,1.0038665703770953,0.7446957332711588,0.7330835990682685,4289,2530.6823828905594,0.0003951503384070641,0.0007490680746443493,0.9238832166999855,0.0761167833000144,0.5600672569125891,converged_objective,0.8934368286281824,104,216
complete,art_to_product,art,product,0,random_regularized_wasserstein,1e-05,10000.0,2.189988262951374,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_regularized_wasserstein/lambda_10000/run_record.json,0.9558847948962803,0.7545045045045045,0.7298879034357719,888,0.988121549034273,0.7512953367875648,0.7397318513074952,4439,1.0158600132052567,0.7425973420377711,0.7309933241784345,4289,2576.423949652644,0.0003881348797952375,0.0004265592887903187,0.939723205433576,0.060276794566424055,0.4014887139201164,converged_objective,0.9502145405858755,109,223
complete,art_to_product,art,product,0,random_uniform,1e-05,,1.8616319596767426,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/random_uniform/run_record.json,0.9580187558102083,0.7533783783783784,0.7284893020371705,888,0.9903508379782355,0.7512953367875648,0.7396173824430262,4439,1.017994915737078,0.7425973420377711,0.7308703672133723,4289,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.132914960384369e-05,converged_objective,0.9424702133983374,108,222
complete,art_to_product,art,product,0,source_only_uniform,1e-05,,1.6450161933898926,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/source_only_uniform/run_record.json,1.2149101378352138,0.6813063063063063,0.6664844738231259,888,1.2875839444162633,0.668168506420365,0.6616806600728523,4439,1.2875839444162633,0.668168506420365,0.6616806600728523,4439,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.7823651432991028e-05,converged_objective,0.8254642430692911,99,204
complete,art_to_product,art,product,0,wasserstein_hard_voronoi,1e-05,,1.4014425575733185,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/wasserstein_hard_voronoi/run_record.json,0.8917449477170268,0.7702702702702703,0.7385924889854397,888,0.8237143392560651,0.7940977697679658,0.7733741273725142,4439,0.8513350495758315,0.786896712520401,0.7665238731311484,4289,197.73252732433238,0.005057336865773945,0.020275978597578147,0.26865671641791045,0.7313432835820894,0.012539943680167198,converged_objective,0.5378011632710695,73,153
complete,art_to_product,art,product,0,wasserstein_uniform,1e-05,,1.92882982455194,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_0/wasserstein_uniform/run_record.json,0.9192151593856406,0.7567567567567568,0.736201978937154,888,0.9209540072354963,0.7603063753097544,0.7491669368875511,4439,0.9472691042418748,0.7521566798787597,0.7414712892542866,4289,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.1900981664657593e-05,converged_objective,0.9357036631554365,106,218
complete,art_to_product,art,product,1,random_regularized_wasserstein,1e-05,10.0,1.6920392271131277,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_1/random_regularized_wasserstein/lambda_10/run_record.json,0.9131104517688997,0.7567567567567568,0.7428317971488965,888,0.9124316381760258,0.7571525118269881,0.7457882095861027,4439,0.9423242241803172,0.7486593611564467,0.7390905441995492,4289,453.29276375915,0.0022060797787880294,0.0075458481573028036,0.5900167680384298,0.40998323196157027,0.04204348102211952,converged_objective,0.757221894338727,91,188
complete,art_to_product,art,product,1,random_uniform,1e-05,,1.9391119424253702,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_1/random_uniform/run_record.json,0.9949422104631741,0.7545045045045045,0.7375943539934967,888,0.9942613018964331,0.7485920252309078,0.7365199524816664,4439,1.0228416023676583,0.7397994870599207,0.7290683425420568,4289,2576.9999999999995,0.00038804811796662794,0.00038804811796662784,0.941792782305006,0.058207217694994186,2.0699575543403625e-05,converged_objective,0.9719876032322645,110,224
complete,art_to_product,art,product,1,source_only_uniform,1e-05,,1.6488466914743185,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_1/source_only_uniform/run_record.json,1.2480619720933663,0.6891891891891891,0.6731301226359573,888,1.2875839444162633,0.668168506420365,0.6616806600728523,4439,1.2875839444162633,0.668168506420365,0.6616806600728523,4439,2427.000000000008,0.0004120313143798915,0.00041203131437989276,1.0000000000000002,0.0,1.7292797565460205e-05,converged_objective,0.826576478779316,99,204
complete,art_to_product,art,product,1,wasserstein_hard_voronoi,1e-05,,1.4656263012439013,,,/home/bgg7950/astro-active-learning/results/domain_adaptation/officehome_frozen/campaigns/round1_150q/runs/art_to_product/seed_1/wasserstein_hard_voronoi/run_record.json,0.847954013825578,0.7826576576576577,0.7514076084271369,888,0.816613966916882,0.7986032890290606,0.7780687082779698,4439,0.843947185734773,0.7915598041501516,0.7713529137052585,4289,204.95751182484597,0.004879060011494417,0.017741481272880878,0.2835820895522388,0.7164179104477612,0.012616509571671486,converged_objective,0.6084488481283188,80,167
